 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 2.00  8750. -5.0  2.0   0.0151
 2.50  8750. -5.0  2.0   0.1793
 2.50  8750. -5.0  2.0   0.2771
 2.50  8750. -5.0  2.0   0.0126
 3.00  8750. -5.0  2.0   0.1846
 3.00  8750. -5.0  2.0   0.2648
 3.00  8750. -5.0  2.0   0.0103
 3.50  8750. -5.0  2.0   0.1920
 3.50  8750. -5.0  2.0   0.2543
 3.50  8750. -5.0  2.0   0.0083
 4.00  8750. -5.0  2.0   0.2006
 4.00  8750. -5.0  2.0   0.2446
 4.00  8750. -5.0  2.0   0.0068
 4.50  8750. -5.0  2.0   0.2087
 4.50  8750. -5.0  2.0   0.2388
 4.50  8750. -5.0  2.0   0.0052
 5.00  8750. -5.0  2.0   0.2145
 5.00  8750. -5.0  2.0   0.2380
 5.00  8750. -5.0  2.0   0.0037
 1.50  9000. -5.0  2.0   0.1881
 1.50  9000. -5.0  2.0   0.3026
 1.50  9000. -5.0  2.0   0.0166
 2.00  9000. -5.0  2.0   0.1726
 2.00  9000. -5.0  2.0   0.2918
 2.00  9000. -5.0  2.0   0.0159
 2.50  9000. -5.0  2.0   0.1703
 2.50  9000. -5.0  2.0   0.2780
 2.50  9000. -5.0  2.0   0.0135
 3.00  9000. -5.0  2.0   0.1732
 3.00  9000. -5.0  2.0   0.2663
 3.00  9000. -5.0  2.0   0.0112
 3.50  9000. -5.0  2.0   0.1785
 3.50  9000. -5.0  2.0   0.2573
 3.50  9000. -5.0  2.0   0.0095
 4.00  9000. -5.0  2.0   0.1850
 4.00  9000. -5.0  2.0   0.2498
 4.00  9000. -5.0  2.0   0.0081
